bank_IDRSSD,name,doc_id,event_date,t0,CAR,alpha,beta,n_est,delisted_flag,S,S_norm,n_design,char_quarter,char_lookahead,filing_type,uninsured_share,size,ROA,NPL_ratio,equity_ratio,deposit_reliance,failed
40499,HARBORONE BANK,1,2022-01-20,2022-01-20,0.016986157675431216,0.0005266320934249549,0.9926365819659226,200,False,0.1231,0.0243,65,2021-12-31,False,041,0.32621573182590025,15.313342268764249,0.013668659668129255,0.009891675505525712,0.12426145722411226,0.9542748016169397,False
980661,FIRST HAWAIIAN BANK,1,2022-01-20,2022-01-20,-0.014081280917214216,-0.000724549804028617,1.1918642032346178,200,False,0.1231,0.0243,65,2021-12-31,False,031,0.47261331601967815,17.03407045293188,0.01086887325968527,0.0011010961820205412,0.10575056448831056,0.9768118499591976,False
436159,FIRSTBANK,1,2022-01-20,2022-01-20,-0.0007456649017247539,-0.00014960865435780117,1.0946557484808888,200,False,0.1231,0.0243,65,2021-12-31,False,041,0.5446039439284492,16.347799317586244,0.015168247449129016,0.0062846383550808705,0.11325379973138394,0.9732212095018924,False
795968,BANK OF HAWAII,1,2022-01-20,2022-01-20,0.005466217593609766,-0.0007729498581704458,1.1155543696576935,200,False,0.1231,0.0243,65,2021-12-31,False,031,0.47116183627964453,16.940276254678047,0.011194853533333073,0.0019863546777741043,0.06972109286387965,0.9621313968336302,False
321273,AFFINITY BANK,1,2022-01-20,2022-01-20,-0.05644169271790824,0.0014858692661753054,0.05633424907950807,200,False,0.1231,0.0243,65,2021-12-31,False,051,0.22600127399313832,13.57953122939749,0.009769599023546557,0.011936707214391818,0.1306500277919516,0.9122747993766476,False
214414,"FARMERS & MERCHANTS STATE BANK, THE",1,2022-01-20,2022-01-20,0.010819382552476988,0.0011496104378599355,0.5815881302827437,200,False,0.1231,0.0243,65,2021-12-31,False,041,0.18994944275070758,14.774162067823905,0.008915039125028707,0.004329986118952375,0.1297603651899392,0.9680897230915096,False
129732,BYLINE BANK,1,2022-01-20,2022-01-20,-0.016401346785548044,0.001176184652172414,1.0686485291960819,200,False,0.1231,0.0243,65,2021-12-31,False,041,0.3352525706160443,15.715442884507489,0.014790196369963272,0.007168612226909493,0.1313150274880853,0.8975673533540777,False
3835454,ROYAL BUSINESS BANK,1,2022-01-20,2022-01-20,0.03898486180108621,0.0007021185512958156,1.0537486783267227,200,False,0.1231,0.0243,65,2021-12-31,False,041,0.5888192953561011,15.255940295926534,0.01518267570710312,0.0061657679249051325,0.13511821167978288,0.9488323886196227,False
3595271,"BANK OF PRINCETON, THE",1,2022-01-20,2022-01-20,0.018907081621224883,0.0005122597986759744,0.42111128069142134,200,False,0.1231,0.0243,65,2021-12-31,False,041,0.33655846167463266,14.33886654776508,0.013323600062097006,0.000880041702742135,0.1283280855042597,0.9830324823856896,False
736206,CAMBRIDGE TRUST COMPANY,1,2022-01-20,2022-01-20,0.03873113301931236,0.0006179805242562777,0.6915092693187581,200,False,0.1231,0.0243,65,2021-12-31,False,051,0.5085642946892228,15.402952727982324,0.011066968540785923,0.0016219979786761172,0.08734259046103407,0.9725459844399991,False
1007819,"FIDELITY DEPOSIT AND DISCOUNT BANK, THE",1,2022-01-20,2022-01-20,0.07164654779291496,-0.0006661134513070498,1.3341429388360087,200,False,0.1231,0.0243,65,2021-12-31,False,051,0.40837825634220737,14.699649929821344,0.01094882068652154,0.0020555643895990624,0.08748316741707629,0.9824671632764659,False
963945,MERCHANTS BANK OF INDIANA,1,2022-01-20,2022-01-20,-0.025194764038681816,0.0010515332866676947,1.0868325440142155,200,False,0.1231,0.0243,65,2021-12-31,False,041,0.5926186216205891,16.21287832802117,0.02059540672312735,6.589748770338023e-05,0.09978234885506439,0.8886401085077636,False
2705895,METROPOLITAN COMMERCIAL BANK,1,2022-01-20,2022-01-20,-0.026599654572996814,0.002644595375217942,1.2356484341076535,200,False,0.1231,0.0243,65,2021-12-31,False,051,0.8288355430902994,15.77767264029689,0.008826803911286122,0.0027570595545768875,0.07998433663968355,0.9904996143227793,False
3579589,ALLEGIANCE BANK,1,2022-01-20,2022-01-20,0.026555002019557558,-0.0005302353982585778,1.0122777567171077,200,False,0.1231,0.0243,65,2021-12-31,False,041,0.5591979410181341,15.77507365139336,0.012239745464701942,0.00571664021631632,0.11598066352452698,0.9727163213804244,False
3271799,MERIDIAN BANK,1,2022-01-20,2022-01-20,-0.038664756620576744,0.0018263760489813127,0.3393094492152385,200,False,0.1231,0.0243,65,2021-12-31,False,051,0.5886674980038935,14.353942399306849,0.02202393250990184,0.015734605295708762,0.1175998851351588,0.9584867895374618,False
979375,"STERLING BANK AND TRUST, FSB",1,2022-01-20,2022-01-20,0.06777105770605597,4.065549202839725e-05,0.7666126330602427,200,False,0.1231,0.0243,65,2021-12-31,False,041,0.19779655099823354,14.872364650122885,0.010072620038543012,0.038751755526907836,0.13272454605959397,0.9194470981992582,False
497570,LUTHER BURBANK SAVINGS,1,2022-01-20,2022-01-20,-0.03362139161489178,0.0014481102520516537,0.6506813489010079,200,False,0.1231,0.0243,65,2021-12-31,False,041,0.4282343200610361,15.786393141083456,0.012972397411288939,0.00036411366825227345,0.1118631886713795,0.876176095221884,False
