bank_IDRSSD,name,doc_id,event_date,t0,CAR,alpha,beta,n_est,delisted_flag,S,S_norm,n_design,char_quarter,char_lookahead,filing_type,uninsured_share,size,ROA,NPL_ratio,equity_ratio,deposit_reliance,failed,score_rf,is_trust_or_specialized,score_ols
216922,FIRST BANK,1,2022-01-20,2022-01-20,-0.0106398378331264,0.0002289212638936,1.088404174996748,200,False,0.1231,0.0243,65,2021-12-31,False,41,0.3570769407984108,16.168486913637565,0.009603278556028,0.0057935970204358,0.1216417502430629,0.9905370910437196,False,-0.0055768569438161,False,-0.0091360140557879
645625,"WESBANCO BANK, INC.",1,2022-01-20,2022-01-20,-0.0067935197508361,-6.221042137437039e-05,1.180590964638125,200,False,0.1231,0.0243,65,2021-12-31,False,41,0.3000445384984881,16.641569073049503,0.014650091872634,0.0044958366874287,0.1561852553279551,0.9639891839836344,False,-0.0161982088105179,False,-0.008228581129112
365325,UNITED BANK,1,2022-01-20,2022-01-20,-0.0184960156418289,-0.0004412188262953,1.2796202622777413,200,False,0.1231,0.0243,65,2021-12-31,False,41,0.3611755160712249,17.192747261606584,0.0126667978389553,0.0041790658754201,0.1633501279612647,0.9636362746012214,False,-0.0197593159230139,False,-0.0140776244579743
816603,"WASHINGTON TRUST COMPANY, OF WESTERLY, THE",1,2022-01-20,2022-01-20,0.0323648958261209,0.0003739034858599,0.906860297034835,200,False,0.1231,0.0243,65,2021-12-31,False,41,0.2582120051187971,15.581955296126385,0.0132951727669897,0.0032992710815678,0.0980778178802184,0.9454937881200344,False,-0.0137346408651125,False,-0.0079113347521507
130541,HORIZON BANK,1,2022-01-20,2022-01-20,-0.042946612870499,0.0001246267399422,1.0879585232085671,200,False,0.1231,0.0243,65,2021-12-31,False,41,0.4230847113950081,15.808586695787085,0.012535172726569,0.0046501565373108,0.1078077456857877,0.8945966004737153,False,0.0062539149106294,False,0.0157748389957609
701062,CENTRAL PACIFIC BANK,1,2022-01-20,2022-01-20,0.0087250022546224,0.0007646274025948,0.9726065539578312,200,False,0.1231,0.0243,65,2021-12-31,False,41,0.3808499097796027,15.817972238330883,0.0115401521856641,0.0014189509478608,0.0862733736648923,0.9839067281111438,False,-0.0108087492314031,False,-0.014432790203365
802866,SILICON VALLEY BANK,1,2022-01-20,2022-01-20,-0.0972643296951524,0.0003764719264324,1.7698230423931796,200,False,0.1231,0.0243,65,2021-12-31,False,31,0.8474972705570153,19.15583801296937,0.0062038248929672,0.0012674462466993,0.0709316764230682,0.987847419318217,True,0.0358832043325153,False,0.0315062153011363
509811,"COMMUNITY TRUST BANK, INC.",1,2022-01-20,2022-01-20,0.0133375435267772,0.0001505129049347,0.7833430289662845,200,False,0.1231,0.0243,65,2021-12-31,False,41,0.2510537678862629,15.499032042254411,0.0162255101881628,0.0048733014895447,0.1327137382152124,0.9323347942531396,False,-0.0195206761466614,False,-0.0348608925225716
208244,OLD NATIONAL BANK,1,2022-01-20,2022-01-20,-0.014399256382171,-0.0004082715468004,0.9055255449314316,200,False,0.1231,0.0243,65,2021-12-31,False,31,0.3615800997038544,17.00821114068989,0.0119615133528391,0.0080796034230521,0.1253823328129146,0.8768942130746581,False,-0.0209391121420312,False,-0.003593043683661
4114567,FIRST REPUBLIC BANK,1,2022-01-20,2022-01-20,-0.0252098300583069,0.0005546387265007,1.1198399346916772,200,False,0.1231,0.0243,65,2021-12-31,False,31,0.735068867127675,19.014489290872792,0.0081624539257215,0.0010269791386924,0.08778985599143,0.9463141348453866,True,-0.0043878506876333,False,0.003577575785238
5210,ACNB BANK,1,2022-01-20,2022-01-20,-0.0322357171656847,0.0002752845737797,0.5096609849179373,200,False,0.1231,0.0243,65,2021-12-31,False,51,0.2720878512260935,14.835326362100108,0.0100090742399783,0.004228828657301,0.0962904535821608,0.9742291678057358,False,-0.0115874644665386,False,-0.0165860703831197
3938186,"BANKUNITED, NATIONAL ASSOCIATION",1,2022-01-20,2022-01-20,0.0140784845999788,-0.0007093955491689,1.4970144930303706,200,False,0.1231,0.0243,65,2021-12-31,False,41,0.670576859592601,17.390256486974533,0.0127690889363547,0.0394221717073385,0.0971019280547509,0.9196586748085848,False,-0.0201652274367269,False,0.0105771378911857
680813,"FARMERS NATIONAL BANK OF CANFIELD, THE",1,2022-01-20,2022-01-20,-0.0258912836909681,0.001093753256203,0.7019045334936355,200,False,0.1231,0.0243,65,2021-12-31,False,41,0.348372487799463,15.23249124077649,0.0121295199008497,0.0069341179583593,0.1099960529965223,0.9914016877906092,False,-0.0099194211626943,False,-0.0097386462864818
785923,LCNB NATIONAL BANK,1,2022-01-20,2022-01-20,0.0359037692985797,0.000622178476791,0.7795715411434466,200,False,0.1231,0.0243,65,2021-12-31,False,51,0.2464994881790219,14.457321285310604,0.0111641660324287,0.001122352485861,0.1234005888675195,0.9783898450104384,False,-0.0176609426194181,False,-0.0188215942518553
